,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Clacton-on-Sea,51.7897,1.156,51.22,83,100,3.0,GB,1649733012
1,Vaini,-21.2,-175.2,86.16,70,75,14.97,TO,1649733012
2,Saint-Philippe,-21.3585,55.7679,73.22,85,84,16.4,RE,1649733013
3,Rikitea,-23.1203,-134.9692,79.07,71,1,15.79,PF,1649733013
4,Castro,-24.7911,-50.0119,62.02,98,72,3.4,BR,1649733013
5,Jining,35.405,116.5814,62.49,67,100,13.44,CN,1649732835
6,Punta Arenas,-53.15,-70.9167,42.91,70,0,11.5,CL,1649733014
7,São Miguel do Araguaia,-13.275,-50.1628,77.05,71,25,1.86,BR,1649733015
8,Kahului,20.8947,-156.47,80.62,73,40,18.41,US,1649733015
9,Sarezzo,45.6617,10.196,49.26,64,37,3.74,IT,1649733016
10,Diapaga,12.0708,1.7889,85.19,45,44,9.15,BF,1649733016
11,Chimbote,-9.0853,-78.5783,66.33,91,67,8.61,PE,1649733017
12,San Patricio,28.017,-97.5169,76.15,91,100,13.65,US,1649733017
13,Bintulu,3.1667,113.0333,84.29,68,49,3.8,MY,1649733018
14,Iskateley,67.6803,53.1512,33.4,97,100,9.64,RU,1649733018
15,Albany,42.6001,-73.9662,52.95,59,95,3.76,US,1649732815
16,Atuona,-9.8,-139.0333,79.2,78,46,14.14,PF,1649733019
17,Codrington,-38.2667,141.9667,61.38,49,47,11.45,AU,1649733019
18,Kassala,15.451,36.4,84.52,41,7,4.72,SD,1649733020
19,Ribeira Grande,38.5167,-28.7,60.62,92,100,10.69,PT,1649733020
20,Mataura,-46.1927,168.8643,55.47,53,57,8.03,NZ,1649733021
21,San Ignacio,17.1561,-89.0714,73.45,95,59,4.83,BZ,1649733021
22,Hamilton,39.1834,-84.5333,58.05,95,100,10.36,US,1649732879
23,Brae,60.3964,-1.353,41.43,74,100,17.34,GB,1649733022
24,Saldanha,-33.0117,17.9442,65.8,55,0,5.97,ZA,1649733022
25,Cape Town,-33.9258,18.4232,67.12,63,50,1.01,ZA,1649733023
26,Busselton,-33.65,115.3333,72.34,46,0,7.94,AU,1649733023
27,Nikolskoye,59.7035,30.7861,33.87,94,100,3.47,RU,1649733024
28,Tasiilaq,65.6145,-37.6368,17.76,83,100,4.83,GL,1649733024
29,Būlaevo,54.9056,70.4439,39.76,54,100,12.88,KZ,1649733024
30,Laguna,38.421,-121.4238,54.91,38,20,14.97,US,1649733025
31,Ponta do Sol,32.6667,-17.1,60.71,73,63,11.65,PT,1649733025
32,Fomboni,-12.28,43.7425,84.18,70,100,16.02,KM,1649733026
33,Amudat,1.95,34.95,66.52,69,64,1.92,UG,1649733026
34,Baoqing,46.3317,132.2111,45.09,42,100,14.63,CN,1649733026
35,São João da Barra,-21.6403,-41.0511,76.01,84,16,7.56,BR,1649733027
36,Thompson,55.7435,-97.8558,26.13,97,99,4.65,CA,1649733027
37,Saskylakh,71.9167,114.0833,0.57,90,97,2.01,RU,1649733028
38,Ushuaia,-54.8,-68.3,40.66,75,0,3.44,AR,1649732997
39,Ilulissat,69.2167,-51.1,24.82,54,100,1.14,GL,1649733028
40,Thinadhoo,0.5333,72.9333,83.97,68,38,11.05,MV,1649733029
41,Kapaa,22.0752,-159.319,80.58,81,40,13.8,US,1649732758
42,Salinas,36.6777,-121.6555,50.61,62,0,19.57,US,1649732844
43,Lüderitz,-26.6481,15.1594,66.97,54,0,4.9,NA,1649733029
44,Sambava,-14.2667,50.1667,74.62,85,35,12.03,MG,1649733030
45,Tuktoyaktuk,69.4541,-133.0374,-3.8,94,5,5.84,CA,1649733030
46,Donduşeni,48.2427,27.6101,35.22,72,3,13.78,MD,1649733031
47,Miramar,25.9873,-80.2323,74.01,63,40,17.27,US,1649733031
48,Sur,22.5667,59.5289,87.28,32,0,6.29,OM,1649733031
49,Namatanai,-3.6667,152.4333,85.64,61,23,6.55,PG,1649733032
50,Belyy Yar,53.6039,91.3903,32.86,50,0,0.0,RU,1649733032
51,Katherine,-14.4667,132.2667,93.52,43,40,10.36,AU,1649733033
52,Caloundra,-26.8,153.1333,82.13,67,7,10.76,AU,1649733033
53,Hobart,-42.8794,147.3294,66.06,53,20,16.11,AU,1649733034
54,Bredasdorp,-34.5322,20.0403,63.86,72,1,2.53,ZA,1649733027
55,Barrow,71.2906,-156.7887,24.82,80,100,8.05,US,1649733034
56,Bela,25.9333,81.9833,90.97,23,97,9.64,IN,1649733035
57,Fairbanks,64.8378,-147.7164,40.96,42,0,11.5,US,1649733035
58,Bluff,-46.6,168.3333,55.8,62,84,22.48,NZ,1649733035
59,Dinguiraye,11.3,-10.7167,84.74,38,92,2.89,GN,1649733036
60,Tezu,27.9167,96.1667,80.17,51,0,2.51,IN,1649733036
61,Sibolga,1.7427,98.7792,85.21,63,75,2.62,ID,1649733037
62,Krasnosel'kup,65.7,82.4667,33.4,100,100,7.74,RU,1649733037
63,Torbay,47.6666,-52.7314,35.58,90,100,10.0,CA,1649733037
64,East London,-33.0153,27.9116,64.4,94,100,7.78,ZA,1649733038
65,Båtsfjord,70.6345,29.7185,31.78,93,100,0.0,NO,1649733038
66,Pisco,-13.7,-76.2167,66.02,82,0,13.8,PE,1649733038
67,Lorengau,-2.0226,147.2712,85.69,65,10,9.71,PG,1649733039
68,Mount Darwin,-16.7725,31.5838,62.89,99,66,1.43,ZW,1649733039
